Barbastella barbastellus
Eptesicus isabellinus
Eptesicus nilssonii
Eptesicus serotinus
Hypsugo savii
Miniopterus schreibersii
Myotis alcathoe
Myotis bechsteinii
Myotis blythii
Myotis brandtii
Myotis capaccinii
Myotis crypticus
Myotis dasycneme
Myotis daubentonii
Myotis davidii
Myotis emarginatus
Myotis escalerai
Myotis myotis
Myotis mystacinus
Myotis nattereri
Myotis punicus
Nyctalus azoreum
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus noctula
Pipistrellus hanaki
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Pipistrellus pygmaeus
Plecotus auritus
Plecotus austriacus
Plecotus kolombatovici
Rhinolophus blasii
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinolophus mehelyi
Tadarida teniotis
Vespertilio murinus
